Service AWS,Category,Domains,Priority
DynamoDB,Database,"Domain 2: Design Resilient Architectures, Domain 3: Design High-Performing Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 1
ElastiCache,Database,"Domain 2: Design Resilient Architectures, Domain 3: Design High-Performing Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 1
IAM,Security Identity and Compliance,"Domain 1: Design Secure Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 1
KMS,Security Identity and Compliance,"Domain 1: Design Secure Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 1
Secrets Manager,Security Identity and Compliance,"Domain 1: Design Secure Architectures, Domain 2: Design Resilient Architectures",Tier 1
Shield / WAF,Security Identity and Compliance,"Domain 1: Design Secure Architectures, Domain 2: Design Resilient Architectures",Tier 1
Cognito,Security Identity and Compliance,"Domain 1: Design Secure Architectures, Domain 2: Design Resilient Architectures",Tier 1
Security Hub &  GuardDuty,Security Identity and Compliance,"Domain 1: Design Secure Architectures, Domain 2: Design Resilient Architectures",Tier 1
ACM,Security Identity and Compliance,"Domain 1: Design Secure Architectures, Domain 2: Design Resilient Architectures",Tier 1
CloudWatch,Management and Governance,"Domain 2: Design Resilient Architectures, Domain 3: Design High-Performing Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 1
CloudTrail,Management and Governance,"Domain 1: Design Secure Architectures, Domain 2: Design Resilient Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 1
Config,Management and Governance,"Domain 1: Design Secure Architectures, Domain 2: Design Resilient Architectures",Tier 1
Trusted Advisor,Management and Governance,"Domain 1: Design Secure Architectures, Domain 2: Design Resilient Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 1
Well-Architected Tool,Management and Governance,"Domain 1: Design Secure Architectures, Domain 2: Design Resilient Architectures, Domain 3: Design High-Performing Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 1
Database Migration Service (DMS),Migration and Transfer,"Domain 1: Design Secure Architectures, Domain 2: Design Resilient Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 2
DataSync,Migration and Transfer,"Domain 2: Design Resilient Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 2
Snow Family,Migration and Transfer,"Domain 2: Design Resilient Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 2
"Transfer Family (SFTP, FTPS, FTP to S3/EFS)",Migration and Transfer,"Domain 1: Design Secure Architectures, Domain 2: Design Resilient Architectures",Tier 2
Athena,Analytics,"Domain 2: Design Resilient Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 2
"Kinesis (Data Streams, Firehose)",Analytics,"Domain 2: Design Resilient Architectures, Domain 3: Design High-Performing Architectures",Tier 2
Glue,Analytics,"Domain 3: Design High-Performing Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 2
QuickSight,Analytics,"Domain 3: Design High-Performing Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 2
CloudFormation,Management and Governance,"Domain 1: Design Secure Architectures, Domain 2: Design Resilient Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 2
Systems Manager (SSM),Management and Governance,"Domain 1: Design Secure Architectures, Domain 2: Design Resilient Architectures, Domain 3: Design High-Performing Architectures",Tier 2
Organizations & AWS Control Tower,Management and Governance,"Domain 1: Design Secure Architectures, Domain 2: Design Resilient Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 2
Cost Explorer & AWS Budgets,Management and Governance,"Domain 1: Design Secure Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 2
ECS / EKS / ECR,Containers,"Domain 2: Design Resilient Architectures, Domain 3: Design High-Performing Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 2
Fargate,Containers,"Domain 2: Design Resilient Architectures, Domain 3: Design High-Performing Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 2
API Gateway,Front-End Web and Mobile,"Domain 1: Design Secure Architectures, Domain 3: Design High-Performing Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 3
EventBridge / SQS / SNS / Step Functions,Application Integration,"Domain 2: Design Resilient Architectures, Domain 3: Design High-Performing Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 3
Redshift / OpenSearch Service,Analytics,"Domain 3: Design High-Performing Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 3
FSx,Storage,"Domain 2: Design Resilient Architectures, Domain 3: Design High-Performing Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 3
Global Accelerator,Networking,"Domain 2: Design Resilient Architectures, Domain 3: Design High-Performing Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 3
Macie / Detective / Inspector,Security Identity and Compliance,"Domain 1: Design Secure Architectures, Domain 2: Design Resilient Architectures",Tier 3
Cost & Usage Report (CUR) / Savings Plans,Cost Management,"Domain 3: Design High-Performing Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 3
